203_A|Uniq1;size=16600	gi|106073457|gb|DQ522548.1|	99.275	276	2	0	1	276	89	364	2.82e-138	499	386286	Cordyceps melolonthae strain OSC 110993 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|88696987|gb|DQ372103.1|	98.917	277	3	0	1	277	89	365	3.64e-137	496	1125942	Hypocrella oxystoma strain BCC 9482 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|88696980|gb|DQ372096.1|	98.917	277	3	0	1	277	101	377	3.64e-137	496	1125942	Hypocrella oxystoma strain BCC 8406 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|154819831|gb|EF468954.1|	98.905	274	3	0	3	276	143	416	1.70e-135	490	288469	Ophiocordyceps entomorrhiza strain KEW 53484 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|675023422|gb|KJ878942.1|	98.540	274	4	0	3	276	84	357	7.89e-134	484	1527426	Ophiocordycipitaceae sp. 'Tilachlidiopsis nigra' voucher TNS 16250 18S ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|675023421|gb|KJ878941.1|	98.540	274	4	0	3	276	76	349	7.89e-134	484	1527426	Ophiocordycipitaceae sp. 'Tilachlidiopsis nigra' voucher TNS 16252 18S ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|1632313543|ref|NG_065087.1|	98.188	276	5	0	1	276	131	406	2.84e-133	483	1812726	Myrothecium uttaraditense MFLU 15-1197 18S rRNA gene, partial sequence; from TYPE material
203_A|Uniq1;size=16600	gi|1005506862|gb|KU872129.1|	98.188	276	5	0	1	276	131	406	2.84e-133	483	1812726	Myrothecium uttaraditense voucher MFLU 15-1197 18S ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|2502014439|gb|OQ948145.1|	98.175	274	5	0	3	276	104	377	3.67e-132	479	1849806	Hirsutella sp. isolate GZUIFR-Z11 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq1;size=16600	gi|2416694393|gb|OQ110579.1|	98.175	274	5	0	3	276	93	366	3.67e-132	479	3016393	Ophiocordyceps sp. XCP-2022a voucher HKAS 125850 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|106073457|gb|DQ522548.1|	99.273	275	2	0	1	275	89	363	1.01e-137	497	386286	Cordyceps melolonthae strain OSC 110993 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|88696987|gb|DQ372103.1|	98.909	275	3	0	1	275	89	363	4.71e-136	492	1125942	Hypocrella oxystoma strain BCC 9482 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|88696980|gb|DQ372096.1|	98.909	275	3	0	1	275	101	375	4.71e-136	492	1125942	Hypocrella oxystoma strain BCC 8406 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|154819831|gb|EF468954.1|	98.901	273	3	0	3	275	143	415	6.10e-135	488	288469	Ophiocordyceps entomorrhiza strain KEW 53484 small subunit ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|675023422|gb|KJ878942.1|	98.535	273	4	0	3	275	84	356	2.84e-133	483	1527426	Ophiocordycipitaceae sp. 'Tilachlidiopsis nigra' voucher TNS 16250 18S ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|675023421|gb|KJ878941.1|	98.535	273	4	0	3	275	76	348	2.84e-133	483	1527426	Ophiocordycipitaceae sp. 'Tilachlidiopsis nigra' voucher TNS 16252 18S ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|1632313543|ref|NG_065087.1|	98.182	275	5	0	1	275	131	405	1.02e-132	481	1812726	Myrothecium uttaraditense MFLU 15-1197 18S rRNA gene, partial sequence; from TYPE material
203_A|Uniq2;size=8420	gi|1005506862|gb|KU872129.1|	98.182	275	5	0	1	275	131	405	1.02e-132	481	1812726	Myrothecium uttaraditense voucher MFLU 15-1197 18S ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|325492471|gb|GU979938.1|	97.834	277	6	0	1	277	89	365	3.67e-132	479	988302	Cordyceps sp. MY4873 18S ribosomal RNA gene, partial sequence
203_A|Uniq2;size=8420	gi|325492470|gb|GU979937.1|	97.834	277	6	0	1	277	89	365	3.67e-132	479	988301	Cordyceps sp. MY4790 18S ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|112789577|gb|DQ838797.1|	98.909	275	3	0	1	275	174	448	4.71e-136	492	153664	Cordyceps sphecocephala 18S ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|112789574|gb|DQ838794.1|	98.909	275	3	0	1	275	174	448	4.71e-136	492	218628	Cordyceps oxycephala 18S ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|1556235693|gb|MK393851.1|	98.545	275	4	0	1	275	86	360	2.19e-134	486	1912256	Ophiocordyceps sp. isolate Palt4 small subunit ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|1556235689|gb|MK393850.1|	98.545	275	4	0	1	275	86	360	2.19e-134	486	1912256	Ophiocordyceps sp. isolate Palt3 small subunit ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|1556235571|gb|MK393849.1|	98.545	275	4	0	1	275	86	360	2.19e-134	486	1912256	Ophiocordyceps sp. isolate Palt2 small subunit ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|1556235567|gb|MK393848.1|	98.545	275	4	0	1	275	86	360	2.19e-134	486	1912256	Ophiocordyceps sp. isolate Palt1 small subunit ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|1556235467|gb|MK393845.1|	98.545	275	4	0	1	275	86	360	2.19e-134	486	1912256	Ophiocordyceps sp. isolate Gh43B small subunit ribosomal RNA gene, partial sequence
204_B|Uniq1;size=9510	gi|1556235369|gb|MK393844.1|	98.545	275	4	0	1	275	86	360	2.19e-134	486	1912256	Ophiocordyceps sp. isolate Gh43A small subunit ribosomal RNA gene, partial sequence
